MUN_ID,MUN_NAME,2022_VOL_m³,2023_VOL_m³,2024_VOL_m³,2025_VOL_m³,WATER_SOURCE,2022_URL,2023_URL,2024_URL,2025_URL
11,District of Summerland,,,"7,891,000.00","8,663,000.00",Surface Water,,,https://www.summerland.ca/docs/default-source/your-city-hall/plans--reports---studies/water/2024-annual-drinking-water-quality-report.pdf?sfvrsn=2aaec7fb_1,email from works&infrastructure@summerland.ca
12,District of Peachland,"2,249,859.00","2,460,490.00","2,250,347.00",,Surface Water,https://www.peachland.ca/media/file/annual-drinking-water-report-2022pdf,https://www.peachland.ca/media/file/annual-drinking-water-report-2023pdf,https://www.peachland.ca/media/file/annual-drinking-water-report-2024pdf,
13,Glenmore-Ellison Improvement District,"6,308,000.00","7,479,000.00","6,806,000.00",,Surface Water,https://www.glenmoreellison.com/media/1217/2023-geid-annual-report.pdf,https://www.glenmoreellison.com/media/1217/2023-geid-annual-report.pdf,https://www.glenmoreellison.com/media/1231/2024-geid-annual-report.pdf,
14,Big White ,"241,000.00","244,000.00","177,000.00",,Surface Water,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/all-seasons-resorts/big-white-project-review/2026-master-plan/big-white-2026-master-plan-supporting-appendices/appendix_l_-_hydrologic_assessment.pdf,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/all-seasons-resorts/big-white-project-review/2026-master-plan/big-white-2026-master-plan-supporting-appendices/appendix_l_-_hydrologic_assessment.pdf,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/all-seasons-resorts/big-white-project-review/2026-master-plan/big-white-2026-master-plan-supporting-appendices/appendix_l_-_hydrologic_assessment.pdf,
15,Silver Star ,"129,000.00","137,000.00","124,532.00",,Mixed,https://www.rdno.ca/sites/default/files/2026-03/2024_Silver_Star_Annual_Rtp_FNL.pdf,https://www.rdno.ca/sites/default/files/2026-03/2024_Silver_Star_Annual_Rtp_FNL.pdf,https://www.rdno.ca/sites/default/files/2026-03/2024_Silver_Star_Annual_Rtp_FNL.pdf,
16,Town of Osoyoos,"7,693,000.00","7,134,901.00","7,281,000.00",,Mixed,https://www.osoyoos.ca/sites/osoyoos.ca/files/2023-09/302-1108-002%20Osoyoos-2022%20Annual%20Water%20Report%20Combined%20Reduced-June%202023.pdf,https://www.osoyoos.ca/sites/osoyoos.ca/files/2024-01/2023%20Annual%20Water%20Report_0.pdf,https://www.osoyoos.ca/sites/osoyoos.ca/files/2025-12/302-1108-003-Osoyoos-2024%20Annual%20Water%20Report-R1-%20November%202025.pdf,
17,City of Armstrong,"1,210,060.00","1,141,865.00","167,730.00",,Mixed,https://armstrong.civicweb.net/filepro/documents/193950/?preview=193955,https://armstrong.civicweb.net/filepro/documents/193950/?preview=193956,https://armstrong.civicweb.net/filepro/documents/193950/?preview=193957,
18,Rutland Waterworks,"2,873,311.00","3,006,716.00","3,196,228.00","3,163,496.00",Groundwater,https://www.rutlandwaterworks.com/files/67a3c5cb-106c-45e8-9364-4d5bd8b0b5a5.pdf,https://www.rutlandwaterworks.com/files/67a3c63f-03c8-480f-a712-41dad8b0b5a5.pdf,https://www.rutlandwaterworks.com/files/67a3c657-7ddc-4535-8b01-492ad8b0b5a5.pdf,https://www.rutlandwaterworks.com/files/698e2020-9420-4eeb-b3a8-4330d8b0b5a5.pdf
19,City of Enderby,"529,280.00","556,568.00","567,189.00","528,482.00",Groundwater,https://www.cityofenderby.com/wp-content/uploads/2024/05/City-of-Enderby-2023-Drinking-Water-Annual-Report.pdf,https://www.cityofenderby.com/wp-content/uploads/2024/05/City-of-Enderby-2023-Drinking-Water-Annual-Report.pdf,https://www.cityofenderby.com/wp-content/uploads/2026/06/City-of-Enderby-2025-Drinking-Water-Annual-Report.pdf,https://www.cityofenderby.com/wp-content/uploads/2026/06/City-of-Enderby-2025-Drinking-Water-Annual-Report.pdf
20,Village of Lumby,"256,395.00","314,658.00","316,710.00",,Groundwater,https://lumby.civicweb.net/filepro/documents/6341/?preview=6382,https://lumby.civicweb.net/filepro/documents/7423/?preview=7424,https://lumby.civicweb.net/filepro/documents/7423/?preview=7424,
21,Black Mountain Irrigation District,"11,392,000.00","11,946,000.00","11,096,000.00","12,639,000.00",Mixed,https://www.bmid.ca/media/24777/2022_Annual_Water_Quality_Report.pdf,https://www.bmid.ca/media/26324/2023_Annual_Water_Quality_Report.pdf,https://www.bmid.ca/media/29082/2024_BMID_Annual_Water_Quality_Report.pdf,https://www.bmid.ca/media/32090/2025_BMID_Annual_Water_Quality_Report.pdf
